n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,F1_promedio,Recall_promedio,Accuracy_promedio
300,5,0.01,0.9,0.8,1.0,0.0571,0.05,0.5629
300,5,0.01,0.8,0.8,1.25,0.05,0.05,0.521
300,5,0.01,0.9,0.8,1.25,0.05,0.05,0.521
300,5,0.01,0.8,0.8,1.5,0.05,0.05,0.4943
300,5,0.01,0.9,0.8,1.5,0.08,0.1,0.4943
300,5,0.01,0.8,0.8,1.75,0.12,0.14,0.5076
300,5,0.01,0.9,0.8,1.75,0.1927,0.22,0.5067
300,5,0.01,0.8,0.8,2.0,0.1911,0.22,0.5067
300,5,0.01,0.9,0.8,2.0,0.1867,0.22,0.4933
100,3,0.03,0.8,0.8,1.0,0.0,0.0,0.6029
100,3,0.03,0.9,0.8,1.0,0.0,0.0,0.5762
100,3,0.03,0.8,0.8,1.25,0.1,0.1,0.5771
100,3,0.03,0.9,0.8,1.25,0.0571,0.05,0.5495
100,3,0.03,0.8,0.8,1.5,0.1289,0.14,0.5219
100,3,0.03,0.9,0.8,1.5,0.12,0.14,0.4943
100,3,0.03,0.8,0.8,1.75,0.1289,0.14,0.4943
100,3,0.03,0.9,0.8,1.75,0.12,0.14,0.48
100,3,0.03,0.8,0.8,2.0,0.1164,0.14,0.4533
100,3,0.03,0.9,0.8,2.0,0.1467,0.18,0.48
200,3,0.03,0.8,0.8,1.0,0.0889,0.1,0.5629
200,3,0.03,0.9,0.8,1.0,0.1,0.1,0.5505
200,3,0.03,0.8,0.8,1.25,0.1289,0.14,0.5219
200,3,0.03,0.9,0.8,1.25,0.1289,0.14,0.5076
200,3,0.03,0.8,0.8,1.5,0.12,0.14,0.5076
200,3,0.03,0.9,0.8,1.5,0.12,0.14,0.4933
200,3,0.03,0.8,0.8,1.75,0.12,0.14,0.4933
200,3,0.03,0.9,0.8,1.75,0.12,0.14,0.48
200,3,0.03,0.8,0.8,2.0,0.1723,0.22,0.4933
200,3,0.03,0.9,0.8,2.0,0.1467,0.18,0.48
300,3,0.03,0.8,0.8,1.0,0.1289,0.14,0.5219
300,3,0.03,0.9,0.8,1.0,0.1289,0.14,0.5076
300,3,0.03,0.8,0.8,1.25,0.12,0.14,0.48
300,3,0.03,0.9,0.8,1.25,0.12,0.14,0.4933
300,3,0.03,0.8,0.8,1.5,0.12,0.14,0.48
300,3,0.03,0.9,0.8,1.5,0.12,0.14,0.4933
300,3,0.03,0.8,0.8,1.75,0.1527,0.18,0.5067
300,3,0.03,0.9,0.8,1.75,0.1527,0.18,0.5067
300,3,0.03,0.8,0.8,2.0,0.18,0.22,0.52
300,3,0.03,0.9,0.8,2.0,0.18,0.22,0.52
100,4,0.03,0.8,0.8,1.0,0.0667,0.05,0.5771
100,4,0.03,0.9,0.8,1.0,0.0667,0.05,0.5771
100,4,0.03,0.8,0.8,1.25,0.05,0.05,0.5352
100,4,0.03,0.9,0.8,1.25,0.09,0.09,0.5343
100,4,0.03,0.8,0.8,1.5,0.0889,0.1,0.5086
100,4,0.03,0.9,0.8,1.5,0.1527,0.18,0.5067
100,4,0.03,0.8,0.8,1.75,0.1527,0.18,0.521
100,4,0.03,0.9,0.8,1.75,0.12,0.14,0.48
100,4,0.03,0.8,0.8,2.0,0.18,0.22,0.5067
100,4,0.03,0.9,0.8,2.0,0.1527,0.18,0.4667
200,4,0.03,0.8,0.8,1.0,0.0889,0.1,0.5352
200,4,0.03,0.9,0.8,1.0,0.0889,0.1,0.5076
200,4,0.03,0.8,0.8,1.25,0.1289,0.14,0.5076
200,4,0.03,0.9,0.8,1.25,0.12,0.14,0.4933
200,4,0.03,0.8,0.8,1.5,0.1527,0.18,0.521
200,4,0.03,0.9,0.8,1.5,0.1527,0.18,0.5067
200,4,0.03,0.8,0.8,1.75,0.1527,0.18,0.521
200,4,0.03,0.9,0.8,1.75,0.1164,0.14,0.48
200,4,0.03,0.8,0.8,2.0,0.18,0.22,0.52
200,4,0.03,0.9,0.8,2.0,0.1467,0.18,0.4933
300,4,0.03,0.8,0.8,1.0,0.12,0.14,0.4933
300,4,0.03,0.9,0.8,1.0,0.12,0.14,0.4933
300,4,0.03,0.8,0.8,1.25,0.12,0.14,0.4933
300,4,0.03,0.9,0.8,1.25,0.1527,0.18,0.5067
300,4,0.03,0.8,0.8,1.5,0.1527,0.18,0.4933
300,4,0.03,0.9,0.8,1.5,0.1527,0.18,0.5067
300,4,0.03,0.8,0.8,1.75,0.18,0.22,0.5343
300,4,0.03,0.9,0.8,1.75,0.18,0.22,0.52
300,4,0.03,0.8,0.8,2.0,0.1727,0.22,0.5057
300,4,0.03,0.9,0.8,2.0,0.1527,0.18,0.5067
100,5,0.03,0.8,0.8,1.0,0.0667,0.05,0.5914
100,5,0.03,0.9,0.8,1.0,0.0667,0.05,0.5771
100,5,0.03,0.8,0.8,1.25,0.0889,0.1,0.5495
100,5,0.03,0.9,0.8,1.25,0.0444,0.05,0.5067
100,5,0.03,0.8,0.8,1.5,0.0889,0.1,0.5219
100,5,0.03,0.9,0.8,1.5,0.12,0.14,0.5076
100,5,0.03,0.8,0.8,1.75,0.16,0.18,0.5343
100,5,0.03,0.9,0.8,1.75,0.1467,0.18,0.4933
100,5,0.03,0.8,0.8,2.0,0.18,0.22,0.52
100,5,0.03,0.9,0.8,2.0,0.1467,0.18,0.4667
200,5,0.03,0.8,0.8,1.0,0.0889,0.1,0.5486
200,5,0.03,0.9,0.8,1.0,0.0889,0.1,0.5076
200,5,0.03,0.8,0.8,1.25,0.12,0.14,0.5076
200,5,0.03,0.9,0.8,1.25,0.12,0.14,0.4933
200,5,0.03,0.8,0.8,1.5,0.12,0.14,0.5076
200,5,0.03,0.9,0.8,1.5,0.12,0.14,0.4933
200,5,0.03,0.8,0.8,1.75,0.1527,0.18,0.5067
200,5,0.03,0.9,0.8,1.75,0.1527,0.18,0.5067
200,5,0.03,0.8,0.8,2.0,0.1723,0.22,0.5067
200,5,0.03,0.9,0.8,2.0,0.1758,0.23,0.5076
300,5,0.03,0.8,0.8,1.0,0.12,0.14,0.4933
300,5,0.03,0.9,0.8,1.0,0.12,0.14,0.5067
300,5,0.03,0.8,0.8,1.25,0.12,0.14,0.4933
300,5,0.03,0.9,0.8,1.25,0.1527,0.18,0.5067
300,5,0.03,0.8,0.8,1.5,0.1527,0.18,0.4933
300,5,0.03,0.9,0.8,1.5,0.1527,0.18,0.5067
300,5,0.03,0.8,0.8,1.75,0.18,0.22,0.5343
300,5,0.03,0.9,0.8,1.75,0.18,0.22,0.52
300,5,0.03,0.8,0.8,2.0,0.2091,0.27,0.5486
300,5,0.03,0.9,0.8,2.0,0.18,0.22,0.52
100,3,0.05,0.8,0.8,1.0,0.0571,0.05,0.5495
100,3,0.05,0.9,0.8,1.0,0.0571,0.05,0.5629
100,3,0.05,0.8,0.8,1.25,0.1289,0.14,0.5219
100,3,0.05,0.9,0.8,1.25,0.1289,0.14,0.521
100,3,0.05,0.8,0.8,1.5,0.1289,0.14,0.5086
100,3,0.05,0.9,0.8,1.5,0.12,0.14,0.48
100,3,0.05,0.8,0.8,1.75,0.1527,0.18,0.4933
100,3,0.05,0.9,0.8,1.75,0.1164,0.14,0.4533
100,3,0.05,0.8,0.8,2.0,0.1723,0.22,0.4933
